This is a legitimate news article.,0
Scientists discover new treatment for cancer.,0
Breaking: UFO spotted over the city!,1
Eating bananas can cure insomnia.,0
Study shows vaccines cause autism.,1
Exercise improves mental health.,0
New study finds coffee prevents heart disease.,0
Breaking: Earthquake strikes the region!,1
Climate change is a hoax.,1
Health officials issue warning about new virus outbreak.,1
Researchers find a link between stress and heart disease.,0
Is there life on Mars? New findings suggest possibility.,1
New diet trend promises rapid weight loss.,1
Breaking: Massive data breach affects millions of users.,1
Global warming leads to increased frequency of natural disasters.,1
Recent study finds correlation between screen time and sleep disorders.,0
Breaking: Celebrity couple announces divorce.,0
Experts warn of potential cybersecurity threats in upcoming election.,1
Scientists develop new drug to combat antibiotic-resistant bacteria.,0
Social media platform accused of data privacy violations.,1
Breaking: Major company announces layoffs.,1
Does drinking green tea help with weight loss? Find out the truth.,0
Controversial new law sparks nationwide protests.,1
New technology breakthrough revolutionizes the industry.,0
Are smartphones causing a decline in social interaction?,1
Breaking: Stock market experiences significant drop.,1
Expert opinion: Is artificial intelligence a threat to humanity?,1
Study reveals benefits of meditation for mental well-being.,0
Viral video captures rare animal species never seen before.,1
Breaking: High-profile celebrity involved in scandal.,1
Can chocolate improve brain function? The surprising answer.,0
Government launches initiative to promote renewable energy.,0
"Breaking: New virus strain discovered, potential for global outbreak.",1
Are organic foods really healthier? Examining the evidence.,0
Scientists find evidence of water on distant exoplanet.,1
Breaking: Controversial legislation passed by lawmakers.,1
Experts predict upcoming trends in technology for the year ahead.,0
Is social media addiction a real problem? Understanding the impact.,1
Breaking: Natural disaster leaves communities devastated.,1
New study explores the effects of climate change on wildlife.,1
Breaking: Popular company faces allegations of fraud.,1
Can laughter improve overall well-being? The science behind it.,0
Breaking: Cybersecurity breach compromises sensitive data.,1
Researchers make breakthrough in the treatment of Alzheimer's.,0
Experts discuss the potential risks of artificial intelligence.,1
Study reveals link between lack of sleep and increased health risks.,0
"Breaking: Political scandal unfolds, impacting upcoming elections.",1
New technology promises advancements in renewable energy.,0
Are self-driving cars the future of transportation?,1
Breaking: Company unveils innovative product that will reshape the market.,0
Researchers discover potential cure for a rare disease.,0
Controversial debate: Should genetically modified organisms be banned?,1
Experts weigh in on the effects of social media on mental health.,1
Breaking: Severe weather warning issued for the region.,1
Scientists investigate mysterious phenomenon observed in deep space.,1
